player_id,player_display_name,position,team,week,attempts,passing_yards,carries,rushing_yards,targets,receptions,receiving_yards
00-0023459,Aaron Rodgers,QB,PIT,1,30,244,1,-1,0,0,0
00-0023853,Matt Prater,K,BUF,1,0,0,0,0,0,0,0
00-0025565,Nick Folk,K,NYJ,1,0,0,0,0,0,0,0
00-0026158,Joe Flacco,QB,CLE,1,45,290,2,6,0,0,0
00-0026190,Calais Campbell,DE,ARI,1,0,0,0,0,0,0,0
00-0026498,Matthew Stafford,QB,LA,1,29,245,4,-2,0,0,0
00-0026858,Graham Gano,K,NYG,1,0,0,0,0,0,0,0
00-0027114,Thomas Morstead,P,SF,1,0,0,0,0,0,0,0
00-0027857,Trent Williams,OT,SF,1,0,0,0,0,0,0,0
00-0027940,Von Miller,OLB,WAS,1,0,0,0,0,0,0,0
00-0027962,Cameron Jordan,LB,NO,1,0,0,0,0,0,0,0
00-0027969,Cameron Heyward,DE,PIT,1,0,0,0,0,0,0,0
00-0028292,Nick Bellore,LB,WAS,1,0,0,0,0,0,0,0
00-0028872,Johnny Hekker,P,TEN,1,0,0,0,0,0,0,0
00-0029255,Bobby Wagner,MLB,WAS,1,0,0,0,0,0,0,0
00-0029263,Russell Wilson,QB,NYG,1,37,168,8,44,0,0,0
00-0029562,Lavonte David,OLB,TB,1,0,0,0,0,0,0,0
00-0029592,Kevin Zeitler,G,TEN,1,0,0,0,0,0,0,0
00-0029607,Demario Davis,OLB,NO,1,0,0,0,0,0,0,0
00-0029692,Bryan Anger,P,DAL,1,0,0,0,0,0,0,0
00-0029714,Andrew DePaola,LS,MIN,1,0,0,0,0,0,0,0
00-0029822,Brandon McManus,K,GB,1,0,0,0,0,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,1,0,0,0,0,2,2,32
00-0030035,Adam Thielen,WR,MIN,1,0,0,0,0,1,0,0
00-0030061,Zach Ertz,TE,WAS,1,0,0,0,0,5,3,26
00-0030062,Darius Slay,CB,PIT,1,0,0,0,0,0,0,0
00-0030092,Sam Martin,P,CAR,1,0,0,0,0,0,0,0
00-0030140,Tress Way,P,WAS,1,0,0,0,0,0,0,0
00-0030279,Keenan Allen,WR,LAC,1,0,0,0,0,10,7,68
00-0030506,Travis Kelce,TE,KC,1,0,0,0,0,4,2,47
00-0030564,DeAndre Hopkins,WR,BAL,1,0,0,0,0,2,2,35
00-0030565,Geno Smith,QB,LV,1,34,362,2,10,0,0,0
00-0030757,Mike Pennel,DT,CIN,1,0,0,0,0,0,0,0
00-0031040,Khalil Mack,OLB,LAC,1,0,0,0,0,0,0,0
00-0031054,DaQuan Jones,DT,BUF,1,0,0,0,0,0,0,0
00-0031136,Chris Boswell,K,PIT,1,0,0,0,0,0,0,0
00-0031203,Cairo Santos,K,CHI,1,0,0,0,0,0,0,0
00-0031236,Brandin Cooks,WR,NO,1,0,0,0,0,4,3,26
00-0031270,Shelby Harris,DE,CLE,1,0,0,0,0,0,0,0
00-0031360,Kyle Van Noy,MLB,BAL,1,0,0,0,0,0,0,0
00-0031381,Davante Adams,WR,LA,1,0,0,0,0,8,4,51
00-0031408,Mike Evans,WR,TB,1,0,0,0,0,8,5,51
00-0031411,DeMarcus Lawrence,LB,SEA,1,0,0,0,0,0,0,0
00-0031492,Jason Myers,K,SEA,1,0,0,0,0,0,0,0
00-0031550,Shaq Thompson,OLB,BUF,1,0,0,0,0,0,0,0
00-0031551,Eddie Goldman,NT,WAS,1,0,0,0,0,0,0,0
00-0031565,Danielle Hunter,DE,HOU,1,0,0,0,0,0,0,0
00-0031583,Grady Jarrett,DT,CHI,1,0,0,0,0,0,0,0
00-0031588,Stefon Diggs,WR,NE,1,0,0,0,0,7,6,57
00-0031608,Quandre Diggs,S,TEN,1,0,0,0,0,0,0,0
00-0031763,DeAndre Carter,WR,CLE,1,0,0,0,0,0,0,0
00-0031898,Alex Singleton,LB,DEN,1,0,0,0,0,0,0,0
00-0031933,Leonard Williams,DE,SEA,1,0,0,0,0,0,0,0
00-0031957,Rakeem Nunez-Roches,DT,NYG,1,0,0,0,0,0,0,0
00-0032052,Dante Fowler Jr.,DE,DAL,1,0,0,0,0,0,0,0
00-0032065,Bradley Pinion,P,ATL,1,0,0,0,0,0,0,0
00-0032146,Bud Dupree,OLB,LAC,1,0,0,0,0,0,0,0
00-0032164,Arik Armstead,DE,JAX,1,0,0,0,0,0,0,0
00-0032211,Tyler Lockett,WR,TEN,1,0,0,0,0,1,0,0
00-0032234,Laken Tomlinson,G,HOU,1,0,0,0,0,0,0,0
00-0032378,DeForest Buckner,DT,IND,1,0,0,0,0,0,0,0
00-0032385,Sterling Shepard,WR,TB,1,0,0,0,0,6,3,39
00-0032387,Jarran Reed,DT,SEA,1,0,0,0,0,0,0,0
00-0032388,Deion Jones,LB,TB,1,0,0,0,0,0,0,0
00-0032392,Austin Hooper,TE,NE,1,0,0,0,0,1,1,10
00-0032398,Chris Moore,WR,WAS,1,0,0,0,0,1,1,34
00-0032399,Miles Killebrew,SAF,PIT,1,0,0,0,0,0,0,0
00-0032415,Matthew Judon,OLB,MIA,1,0,0,0,0,0,0,0
00-0032442,Elandon Roberts,OLB,LV,1,0,0,0,0,0,0,0
00-0032464,Kalif Raymond,WR,DET,1,0,0,0,0,3,2,16
00-0032569,Wil Lutz,K,DEN,1,0,0,0,0,0,0,0
00-0032580,Jonathan Jones,DB,WAS,1,0,0,0,0,0,0,0
00-0032667,Roy Robertson-Harris,DE,NYG,1,0,0,0,0,0,0,0
00-0032726,Ka'imi Fairbairn,K,HOU,1,0,0,0,0,0,0,0
00-0032759,Sheldon Rankins,DT,HOU,1,0,0,0,0,0,0,0
00-0032762,Chris Jones,DE,KC,1,0,0,0,0,0,0,0
00-0032763,Austin Johnson,NT,JAX,1,0,0,0,0,0,0,0
00-0032764,Derrick Henry,RB,BAL,1,0,0,18,169,1,1,13
00-0032889,A'Shawn Robinson,DT,CAR,1,0,0,0,0,0,0,0
00-0032943,Riley Dixon,P,TB,1,0,0,0,0,0,0,0
00-0033038,Eric Murray,S,JAX,1,0,0,0,0,0,0,0
00-0033040,Tyreek Hill,WR,MIA,1,0,0,0,0,6,4,40
00-0033046,Jihad Ward,LB,TEN,1,0,0,0,0,0,0,0
00-0033050,Xavien Howard,CB,IND,1,0,0,0,0,0,0,0
00-0033055,Jalen Ramsey,CB,PIT,1,0,0,0,0,0,0,0
00-0033073,Emmanuel Ogbah,DE,JAX,1,0,0,0,0,0,0,0
00-0033077,Dak Prescott,QB,DAL,1,34,188,1,3,0,0,0
00-0033090,Hunter Henry,TE,NE,1,0,0,0,0,8,4,66
00-0033106,Jared Goff,QB,DET,1,39,225,1,-1,0,0,0
00-0033109,Javon Hargrave,NT,MIN,1,0,0,0,0,0,0,0
00-0033110,Tyler Higbee,TE,LA,1,0,0,0,0,0,0,0
00-0033120,Kenny Clark,NT,DAL,1,0,0,0,0,0,0,0
00-0033132,Kevin Byard,FS,CHI,1,0,0,0,0,0,0,0
00-0033156,Joey Bosa,DE,BUF,1,0,0,0,0,0,0,0
00-0033217,Mo Alie-Cox,TE,IND,1,0,0,0,0,1,1,20
00-0033246,Johnny Mundt,TE,JAX,1,0,0,0,0,1,0,0
00-0033280,Christian McCaffrey,RB,SF,1,0,0,22,69,10,9,73
00-0033281,Marlon Humphrey,CB,BAL,1,0,0,0,0,0,0,0
00-0033288,George Kittle,TE,SF,1,0,0,0,0,4,4,25
00-0033290,Jermaine Eluemunor,G,NYG,1,0,0,0,0,0,0,0
00-0033293,Aaron Jones,RB,MIN,1,0,0,8,23,3,3,44
00-0033294,Chuck Clark,SAF,PIT,1,0,0,0,0,0,0,0
00-0033297,D.J. Jones,DT,DEN,1,0,0,0,0,0,0,0
00-0033303,Harrison Butker,K,KC,1,0,0,0,0,0,0,0
00-0033336,Eric Wilson,LB,MIN,1,0,0,0,0,0,0,0
00-0033381,Adam Butler,DT,LV,1,0,0,0,0,0,0,0
00-0033393,Kenny Moore II,CB,IND,1,0,0,0,0,0,0,0
00-0033523,Jonathan Allen,DE,MIN,1,0,0,0,0,0,0,0
00-0033526,Samaje Perine,RB,CIN,1,0,0,0,0,2,2,6
00-0033547,Zach Cunningham,ILB,DET,1,0,0,0,0,0,0,0
00-0033548,Chidobe Awuzie,CB,BAL,1,0,0,0,0,0,0,0
00-0033551,Rasul Douglas,CB,MIA,1,0,0,0,0,0,0,0
00-0033553,James Conner,RB,ARI,1,0,0,12,39,4,4,5
00-0033555,Mack Hollins,WR,NE,1,0,0,0,0,2,1,3
00-0033571,Matt Milano,OLB,BUF,1,0,0,0,0,0,0,0
00-0033572,Jamal Agnew,WR,ATL,1,0,0,0,0,0,0,0
00-0033576,Eric Saubert,TE,SEA,1,0,0,0,0,0,0,0
00-0033579,Xavier Woods,FS,TEN,1,0,0,0,0,0,0,0
00-0033589,David Moore,WR,CAR,1,0,0,0,0,0,0,0
00-0033591,Noah Brown,WR,WAS,1,0,0,0,0,3,2,27
00-0033676,Elijah Wilkinson,OT,ATL,1,0,0,0,0,0,0,0
00-0033699,Austin Ekeler,RB,WAS,1,0,0,6,26,3,3,31
00-0033702,Younghoe Koo,K,ATL,1,0,0,0,0,0,0,0
00-0033783,Ahkello Witherspoon,CB,LA,1,0,0,0,0,0,0,0
00-0033787,Jake Elliott,K,PHI,1,0,0,0,0,0,0,0
00-0033854,Dare Ogunbowale,RB,HOU,1,0,0,2,9,2,2,17
00-0033857,JuJu Smith-Schuster,WR,KC,1,0,0,0,0,5,5,55
00-0033858,Jonnu Smith,TE,PIT,1,0,0,0,0,6,5,15
00-0033860,Davon Godchaux,DT,NO,1,0,0,0,0,0,0,0
00-0033868,Myles Garrett,DE,CLE,1,0,0,0,0,0,0,0
00-0033870,Solomon Thomas,DE,DAL,1,0,0,0,0,0,0,0
00-0033872,Jamal Adams,LB,LV,1,0,0,0,0,0,0,0
00-0033873,Patrick Mahomes,QB,KC,1,39,258,6,57,0,0,0
00-0033874,Marshon Lattimore,CB,WAS,1,0,0,0,0,0,0,0
00-0033875,Haason Reddick,OLB,TB,1,0,0,0,0,0,0,0
00-0033876,Derek Barnett,DE,HOU,1,0,0,0,0,0,0,0
00-0033877,Malik Hooker,FS,DAL,1,0,0,0,0,0,0,0
00-0033878,Adoree' Jackson,CB,PHI,1,0,0,0,0,0,0,0
00-0033881,Evan Engram,TE,DEN,1,0,0,0,0,4,3,21
00-0033885,David Njoku,TE,CLE,1,0,0,0,0,6,3,37
00-0033886,T.J. Watt,OLB,PIT,1,0,0,0,0,0,0,0
00-0033889,Cam Robinson,OT,HOU,1,0,0,0,0,0,0,0
00-0033890,Budda Baker,S,ARI,1,0,0,0,0,0,0,0
00-0033891,Zay Jones,WR,ARI,1,0,0,0,0,1,1,4
